paper_id,source,pmid,pmcid,doi,title,abstract,publication_date,journal,authors,article_type,is_open_access
MED-25429980,MED,25429980,,10.1002/ejp.621,"Acetaminophen/paracetamol: A history of errors, failures and false decisions.","Acetaminophen/paracetamol is the most widely used drug of the world. At the same time, it is probably one of the most dangerous compounds in medical use, causing hundreds of deaths in all industrialized countries due to acute liver failure (ALF). Publications of the last 130 years found in the usual databases were analyzed. Personal contacts existed to renowned researchers having contributed to the medical use of paracetamol and its precursors as H.U. Zollinger, S. Moeschlin, U. Dubach, J. Axelrod and others. Further information is found in earlier reviews by Eichengrün, Rodnan and Benedek, Sneader, Brune; comp. references. The history of the discovery of paracetamol starts with an error (active against worms), continues with a false assumption (paracetamol is safer than phenacetin), describes the first side-effect 'epidemy' (phenacetin nephropathy, drug-induced interstitial nephritis) and ends with the discovery of second-generation problems due to the unavoidable production of a highly toxic metabolite of paracetamol N-acetyl-p-benzoquinone imine (NAPQI) that may cause not only ALF and kidney damage but also impaired development of the fetus and the newborn child. It appears timely to reassess the risk/benefit ratio of this compound.",2015,"European journal of pain (London, England)","K Brune, B Renner, G Tiegs",Journal Article,Y
MED-14758789,MED,14758789,,,[Tolerability of paracetamol].,"Paracetamol (acetaminophen) is a well-tolerated drug at therapeutic doses and this safety profile is a major factor in the very wide use of the drug. It is well known that paracetamol is converted by the hepatic cytochrome P450 system to reactive compounds. Less well known is that paracetamol is also metabolized to the same reactive compounds by myeloperoxidase and the peroxidase function of cycloxygenase (COX)-1. The reactive metabolites lead to hepatotoxicity following overdosage. Similar hepatotoxicity has been reported after therapeutic doses, but critical analysis indicates that most patients with alleged toxicity from therapeutic doses have taken overdoses. Associations between the use of paracetamol and chronic renal diseases, gastrointestinal toxicity and asthma may be due to biases in case-control studies. In particular, biases may be caused by the perceived safety of paracetamol in these diseases. Selective inhibition of the delayed pathway of prostaglandin synthesis is consistent with the gastrointestinal safety of paracetamol and its safety in the majority of aspirin-sensitive asthmatics. Despite the conversion of paracetamol to reactive compounds, hypersensitivity reactions are rare, although urticaria is produced in occasional patients.",2003,Drugs,"Garry G Graham, Kieran F Scott, Richard O Day",Journal Article,Y
MED-26299912,MED,26299912,,10.1016/j.arcped.2015.07.003,[Paracetamol (acetaminophen) use in neonatology: a (re)appreciation of an old drug].,"In neonates, paracetamol is mainly used for its analgesic action. This drug is actually preferred by neonatologists because of its broad therapeutic index. Recently, it has been demonstrated that paracetamol is also an anti-cyclooxygenase (COX) medication through its inhibitory action on the peroxidase arm of central and peripheral COX (Boutaud et al., 2002; Toussaint et al., 2010; Graham et al., 2013; Hinz et al., 2008; Hinz and Brune, 2011). As such, this drug interferes with the synthesis of prostaglandins. This inhibition of peroxidase is, however, limited to a low concentration of arachidonic acid (AA) (around 2μM, in vitro) when the plasmatic concentration of paracetamol is experimentally 10μM, actually within the same range as compared to the therapeutic concentrations in vivo. This may partly explain its low anti-inflammatory effect as compared to ibuprofen and indomethacin, which exert their inhibition on COX whatever the AA concentrations are. This new well-demonstrated action of paracetamol on peripheral COX-2 of intact cells could explain recent observations making this drug a potential alternative in treating patent ductus arteriosus. However, the higher dosages that have been claimed by some authors in this indication still remain to be validated. This inhibition that paracetamol shows on the physiological synthesis of prostaglandins E2 (PGE2) could also explain some long-term immune deviations because the physiological concentration of PGE2 is a well-known actor in the genesis of immune homeostasis in the submucosal area. Indeed, recent epidemiology studies have pointed out immune deviations in children repeatedly exposed to paracetamol earlier in life. Consequently, this is actually the new discovery of an old drug. From these new data on paracetamol, a more focused pharmacovigilance on the long-term effects of paracetamol repeatedly given in the early stage should be urgently initiated.",2015,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie,J-P Langhendries,Journal Article,Y
MED-28720398,MED,28720398,,10.1016/j.siny.2017.07.006,Perinatal and neonatal use of paracetamol for pain relief.,"Paracetamol (acetaminophen) is the most widely used drug to treat pain or fever in pregnant women or neonates, but its pharmacokinetics (PK) and pharmacodynamics (PD) warrant a focused analysis. During pregnancy, there is an important increase in paracetamol clearance. Consequently, it is reasonable to anticipate that the analgesic effect of paracetamol will decrease faster, whereas higher doses may result in even higher oxidative toxic metabolites. Therefore, most peripartal PD data relate to multimodal analgesia strategies. In neonates, weight/size is the most relevant covariate of paracetamol PK. This resulted in proposed dosing regimens containing higher doses than currently prescribed in the label for term neonates. Using adequate dosing, paracetamol is a poor procedural analgesic, is effective for mild-to-moderate pain, and has morphine-sparing effects. Short-term safety has been well documented, and there is active research investigating the potential association between paracetamol exposure and atopy, fertility, and neurobehavior.",2017,Seminars in fetal & neonatal medicine,"Karel Allegaert, John N van den Anker",Journal Article,Y
MED-12205339,MED,12205339,,10.1093/qjmed/95.9.609,"Paracetamol toxicity: epidemiology, prevention and costs to the health-care system.","Paracetamol has been used as an analgesic and antipyretic for many years, with toxicity first noted in the 1960s. Since then the incidence of poisoning has increased, and paracetamol is now the most common drug in self-poisoning, with a high rate of morbidity and mortality. The use, abuse and ways of reducing paracetamol toxicity are reviewed, but in view of the potential for harm, serious consideration should be given to changing the legal status of paracetamol, possibly to a prescription-only medicine.",2002,QJM : monthly journal of the Association of Physicians,"C L Sheen, J F Dillon, D N Bateman, K J Simpson",Journal Article,Y
MED-39428054,MED,39428054,,10.1016/j.cbi.2024.111283,Paracetamol suppresses neutrophilic oxygen radicals through competitive inhibition and scavenging.,"Neutrophils, pivotal cells of innate and adaptive immune responses, employ reactive oxygen species (ROS) to combat pathogens and control gene expression. Paracetamol (acetaminophen) is widely used as an analgesic and antipyretic medication, yet its precise mechanisms of action are not yet fully understood. Here, we investigate the impact of both ingested and in-vitro paracetamol on neutrophil ROS activity, using flow cytometry and antioxidant assays. Our studies reveal that paracetamol significantly suppresses ROS activity ex-vivo in the short term. Additionally, both paracetamol and its metabolite N-acetyl-p-benzoquinone imine exhibited direct in vitro antioxidant effects, and paracetamol suppressed neutrophil extracellular trap formation ex vivo. These findings suggest a connection between paracetamol use and altered neutrophil responses, with potential implications for use in some patient groups, such as immunocompromised individuals. Further investigation into paracetamol's effects on neutrophil antimicrobial functions is warranted to elucidate possible risks, particularly when taken frequently or in conjunction with other treatments such as vaccinations.",2024,Chemico-biological interactions,"Peter P Smith, Ilaria J Chicca, Jennifer L J Heaney, Maria Muchova",Journal Article,Y
MED-14758791,MED,14758791,,,[New perspectives on paracetamol].,"Paracetamol (acetaminophen) is well established as a leading non-prescription antipyretic analgesic drug. Future developments are likely to include new formulations to achieve rapid absorption for a fast onset of action, and prolonged absorption to extend the duration of action for regular long-term administration. Better dosage forms are also required for rectal administration. The availability of intravenous paracetamol has greatly extended the use of this drug as an adjunct to postoperative analgesia and for control of fever in the intensive care setting. Intravenous paracetamol is available in only a few countries at present, but it seems inevitable that it will be marketed much more widely in the future. The misuse of paracetamol as a fashionable agent for self-poisoning seems likely to continue, and liver failure may still occur in the small proportion of overdose patients who present too late for effective antidotal treatment with N-acetylcysteine. Much effort is being devoted to the study of the molecular mechanisms of paracetamol hepatotoxicity, and it is hoped that further advances may make it possible to prevent liver failure in all patients, irrespective of delays in presentation. At the same time, there is great interest in the mechanisms of the therapeutic actions of paracetamol and its effects on the different isoforms of cyclo-oxygenase. There will probably be important new findings in this area and these may lead to wider clinical use. Meantime, possible novel therapeutic applications for paracetamol include its use as an antioxidant to prevent atherosclerosis and cardiovascular disease by inhibiting the oxidation of low-density lipoproteins, and to prevent the formation of cataracts.",2003,Drugs,Laurie F Prescott,Journal Article,Y
MED-35038139,MED,35038139,,10.1519/JSC.0000000000003487,What is the Effect of Paracetamol (Acetaminophen) Ingestion on Exercise Performance? Current Findings and Future Research Directions.,"In recent years, studies have explored the effects of paracetamol (acetaminophen) ingestion on exercise performance. However, due to the contrasting findings, there is still no consensus on this topic. This article provides an overview of the effects of paracetamol on endurance, sprinting, and resistance exercise performance. Studies have reported that paracetamol ingestion may be ergogenic for endurance performance. These effects occur when paracetamol is ingested 45-60 min before exercise and appear to be more pronounced in time-to-exhaustion versus time-trial tests. Besides endurance, paracetamol ingestion 30 min before exercise increases mean power during repeated cycling sprints in interval training involving repeated 30-s all-out bouts. Preliminary data on paracetamol ingestion also suggest: (a) improved endurance performance in the heat; (b) an improvement in single sprint performance, at least when paracetamol is ingested following exercise-induced fatigue; and (c) attenuation of the decline in muscular strength that occurs with repeated maximum contractions. An ergogenic effect of paracetamol is most commonly observed when a dose of 1500 mg is ingested 30-60 min before exercise. Despite these performance-enhancing effects, the aim of this article is not to promote paracetamol use, as side effects associated with its consumption and ethical aspects need to be considered before utilizing paracetamol as an ergogenic aid. Future research on this topic is still needed, particularly related to paracetamol dosing, timing of ingestion, and the effects of paracetamol in females and elite athletes.",2022,"Sports medicine (Auckland, N.Z.)",Jozo Grgic,Journal Article,Y
MED-20701403,MED,20701403,,10.2165/11205830-000000000-00000,Tramadol/paracetamol fixed-dose combination: a review of its use in the management of moderate to severe pain.,"Tramadol/paracetamol 37.5 mg/325 mg (Tramacet, Zaldiar, Ixprim, Kolibri) is an orally administered fixed-dose combination of the atypical opioid tramadol and paracetamol, which is indicated in the EU for the symptomatic treatment of moderate to severe pain. This article reviews the pharmacological properties, clinical efficacy and tolerability of tramadol/paracetamol in adults with moderate to severe pain. Fixed-dose tramadol/paracetamol is a rapidly-acting, longer-duration, multimodal analgesic, which is effective and generally well tolerated in patients with moderate to severe pain. In several well designed, clinical studies, single- or multiple-dose tramadol/paracetamol was effective in providing pain relief in adult patients with postoperative pain after minor surgery, musculoskeletal pain (acute, subacute or chronic), painful diabetic peripheral neuropathy or migraine pain. It was also effective as an add-on analgesic in patients who were experiencing moderate to severe musculoskeletal pain (e.g. osteoarthritis or rheumatoid arthritis pain) despite ongoing NSAID and/or disease-modifying antirheumatic drug therapy. Moreover, in patients with postoperative pain, ankle sprain pain or subacute lower back pain, the analgesic efficacy of tramadol/paracetamol was better than that of paracetamol, generally similar to, or better than that, of tramadol, and generally similar to that of ibuprofen or the fixed-dose combinations hydrocodone/paracetamol, codeine/paracetamol and codeine/paracetamol/ibuprofen. In addition, the analgesic efficacy of tramadol/paracetamol did not differ significantly from that of gabapentin in patients with chronic pain associated with diabetic peripheral neuropathy. Tramadol/paracetamol had no additional tolerability issues relative to its components and, overall, the tolerability profile of tramadol/paracetamol was generally similar to that of other active comparators (fixed-dose combinations or single-agents); however, incidences of some adverse events were lower in tramadol/paracetamol than in active comparator recipients. Although additional comparative and long-term studies would help to definitively position tramadol/paracetamol with respect to other analgesics, available clinical data suggest that tramadol/paracetamol is a useful treatment option for providing multimodal analgesia in patients with moderate to severe pain.",2010,Clinical drug investigation,Sohita Dhillon,Journal Article,Y
MED-12006215,MED,12006215,,10.1080/13556210220120424,Alcohol exposure and paracetamol-induced hepatotoxicity.,"Most instances of hepatotoxicity due to paracetamol in the United Kingdom and Australia are the result of large overdoses of the drug taken with suicidal or parasuicidal intent. In contrast, serious hepatotoxicity at recommended or near-recommended doses for therapeutic purposes has been reported, mainly from the United States and in association with chronic alcohol use, leading to the widely held belief that chronic alcoholics are predisposed to paracetamol-related toxicity at relatively low doses. Yet the effects of alcohol on paracetamol metabolism are complex. Studies performed in both experimental animals and humans indicate that chronic alcohol use leads to a short-term, two- to threefold increase in hepatic content of cytochrome P4502E1, the major isoform responsible for the generation of the toxic metabolite from paracetamol, although increased oxidative metabolism of paracetamol at recommended doses has not been demonstrated clinically. A reduced hepatic content of glutathione, required to detoxify the reactive metabolite, has been documented in chronic alcoholics, due probably to associated fasting and malnutrition, providing a metabolic basis for any possible predisposition of this group to hepatotoxicity at relatively low paracetamol doses. Simultaneous alcohol and paracetamol ingestion reduces oxidative metabolism of paracetamol in both rodents and humans, predominantly as a consequence of depletion in cytosol of free NADPH. The possibilities that chronic alcohol use may predispose to paracetamol-related hepatotoxicity and that alcohol taken with paracetamol may protect against it, based on these metabolic observations, are examined in this review.",2002,Addiction biology,"Stephen M Riordan, Roger Williams",Journal Article,Y
MED-11243017,MED,11243017,,,[About paracetamol again].,"The mechanism of hepatotoxicity caused by paracetamol (acetaminophen) overdose and the treatment of patients is reviewed. Paracetamol is widely used over-the-counter drug with analgesic and antipyretic properties. Although it is considered to be safe at therapeutic doses, the incidence of hepatotoxicity caused by overdose or inadvertent application has been increasing lately. N-acetyl-p-benzoquinonimine, one of the metabolites formed from paracetamol is responsible for the hepatotoxicity. Until now there is no complete therapeutic strategy for the effective treatment of hepatotoxicity caused by paracetamol. Gut decontamination, N-acetylcysteine antidote administration and enhancement of elimination is used for the management of paracetamol overdose. Those with severe hepatotoxicity and neurological symptoms can benefit from removal of necrotic liver and undergo transplantation.",2001,Orvosi hetilap,"E Hazai, K Monostory, A Bakos, G Zacher",Journal Article,Y
MED-25690237,MED,25690237,,10.7748/ns.29.25.61.s52,Paracetamol overdose.,"Paracetamol is safe and effective at the therapeutic dose. It is beneficial as an analgesic and is an effective antipyretic. Paracetamol is cheap and easy to buy over the counter, which makes it a common choice in intentional overdose.",2015,Nursing standard (Royal College of Nursing (Great Britain) : 1987),Anita Skinner,Journal Article,Y
MED-39853479,MED,39853479,,10.1124/dmd.107.016170,"Paracetamol, its metabolites, and their transfer between maternal circulation and fetal brain in mono- and combination therapies.","Due to its availability and perceived safety, paracetamol is recommended even during pregnancy and for neonates. It is used frequently alone or in combination with other drugs required for the treatment of various chronic conditions. The aim of this study was to investigate potential effects of drug interactions on paracetamol metabolism and its placental transfer and entry into the developing brain. Sprague Dawley rats at postnatal day P4, pregnant embryonic day E19 dams, and non-pregnant adult females were administered paracetamol (15 mg/kg) either as monotherapy or in combination with one of seven other drugs: cimetidine, digoxin, fluvoxamine, lamotrigine, lithium, olanzapine, valproate. Concentrations of parent paracetamol and its metabolites (paracetamol-glucuronide, paracetamol-glutathione, and paracetamol-sulfate) in plasma, cerebrospinal fluid (CSF) and brain were measured by liquid chromatography coupled with tandem mass spectrometry (LC-MS/MS) and their entry into the brain, CSF and transfer across the placenta were estimated. In monotherapy, concentration of parent paracetamol in plasma, CSF, and brain remained similar and at all ages brain entry was unrestricted. In combination therapies, CSF entry of paracetamol increased following co-treatment with olanzapine. Placental transfer of parent paracetamol remained unchanged, however, transfer of paracetamol-sulfate increased with lamotrigine co-administration. Acutely administered paracetamol was more extensively metabolized in adults compared to younger ages resulting in increased concentration of its metabolites with age. Developmental changes in the apparent brain and CSF entry of paracetamol appear to be determined more by its metabolism, rather than by cellular control of its transfer across brain and placental barriers.",2025,Pharmacological reports : PR,"Yifan Huang, Fiona Qiu, Katarzyna M Dziegielewska, Mark D Habgood",Journal Article,Y
MED-11152174,MED,11152174,,10.1016/s1081-1206(10)62580-x,Paracetamol (acetaminophen) hypersensitivity.,"Acetaminophen (paracetamol) is an analgesic antipyretic drug with no antiinflammatory effects and is widely used worldwide. Earlier clinical studies reported IgE-mediated adverse reactions to acetaminophen, but in vivo and in vitro tests have been inconclusive. We propose to demonstrate an IgE-mediated mechanism in four patients with adverse reactions to acetaminophen (paracetamol). Tolerance to aspirin and other nonsteroidal antiinflammatory drugs are present in all patients. We studied four patients with anaphylactic reactions to acetaminophen who tolerated aspirin and other nonsteroidal antiinflammatory drugs. Skin tests, oral challenges and immunoassay for allergen-specific IgE antibodies with acetaminophen were performed in all patients. All patients tolerated the aspirin oral challenge without adverse effects. In contrast, the oral challenge with acetaminophen produced adverse effects in all patients. Skin tests with acetaminophen were positive in two patients (3-mm wheal and flare) and IgE antibodies acetaminophen were detected in serum from two patients. We describe four patients with adverse reactions to acetaminophen but with tolerance to aspirin and other nonsteroidal antiinflammatory drugs. Skin tests, oral challenges, and serum IgE results with acetaminophen suggest that an IgE-mediated mechanism is responsible for these reactions.",2000,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology","B J de Paramo, S Q Gancedo, M Cuevas, I P Camo",Journal Article,Y
MED-10796810,MED,10796810,,10.1002/14651858.CD001547,"Single dose paracetamol (acetaminophen), with and without codeine, for postoperative pain.","Patient surveys have shown that postoperative pain is often not managed well, and there is a need to assess the efficacy and safety of commonly used analgesics as newer treatments become available. Paracetamol (acetaminophen) is an important non-opiate analgesic, commonly prescribed, as well as being available for retail sale. This review seeks to examine the efficacy of paracetamol alone and in combination with codeine, and also considers adverse effects. To assess the analgesic efficacy and adverse effects of a single dose of oral paracetamol (acetaminophen) alone and in combination with codeine for moderate to severe postoperative pain. Published trials were identified from: Medline (1966 to May 1996), Embase (1980 to 1996), Cochrane Library (Issue 2 1996) and the Oxford Pain Relief Database (1950 to 1994). Additional trials were identified from reference lists of retrieved studies. Date of most recent searches: July 1998. Inclusion criteria were: full journal publication, postoperative pain, postoperative oral administration, adult patients, baseline pain of moderate to severe intensity, double-blind design, and random allocation to treatment groups which compared paracetamol with placebo or a combination of paracetamol and codeine with either placebo or the same dose of paracetamol alone. Data were extracted by two independent reviewers, and trials were quality scored. Summed pain intensity and pain relief data were extracted and converted into dichotomous information to yield the number of patients with at least 50% pain relief. This was used to calculate the relative benefit and number-needed-to-treat (NNT) for one patient to achieve at least 50% pain relief over 4 to 6 hours compared with placebo. Adverse effects were used to calculate relative risk and number-needed-to-harm (NNH). We found 40 trials of paracetamol against placebo (4171 patients), 22 trials of paracetamol plus codeine against placebo (1407 patients) and 12 trials of paracetamol plus codeine against the same dose of paracetamol (794 patients). In postoperative pain paracetamol 1000 mg had an NNT of 4.6 (3.8-5.4) for at least 50% pain relief when compared with placebo, and paracetamol 600/650 mg had an NNT of 5.3 (4.1-7.2). Paracetamol 600/650 mg plus codeine 60 mg had an NNT of 3. 6 (2.9-4.5). Comparing paracetamol plus codeine 60 mg with the same dose of paracetamol alone gave an NNT of 7.7 (5.1-17) for at least 50% pain relief. Adverse effects: Relative risk estimates for paracetamol 600/650 mg plus codeine 60 mg versus placebo showed a significant difference for 'drowsiness'/somnolence (NNH 11 (7.5- 0)) and dizziness (NNH 27 (15-164)) but no significant difference for nausea/vomiting. Paracetamol is an effective analgesic with a low incidence of adverse effects. The addition of codeine 60 mg to paracetamol produces additional pain relief even in single oral doses, but may be accompanied by an increase in drowsiness and dizziness.",2000,The Cochrane database of systematic reviews,"A Moore, S Collins, D Carroll, H McQuay",Journal Article,Y
MED-9478052,MED,9478052,,,[Toxicity of paracetamol (acetaminophen)].,[Toxicity of paracetamol (acetaminophen)].,1998,Orvosi hetilap,A Pár,Journal Article,Y
